WKT,ASIGNACION,SUP_KM2,IDENTIFICA,POLIGONO,UBICACION,ACTIVIDAD,DESCUBRIM,layer,path
"MULTIPOLYGON (((-99.0416666669999 26.1583333330001,-99.0416666669999 26.15,-99.0416666669999 26.141666667,-99.033333333 26.141666667,-99.033333333 26.133333333,-99.033333333 26.125,-99.033333333 26.1166666670001,-99.0416666669999 26.1166666670001,-99.0416666669999 26.1083333330001,-99.033333333 26.1083333330001,-99.025 26.1083333330001,-99.025 26.1,-99.033333333 26.1,-99.033333333 26.0916666670001,-99.033333333 26.0833333330001,-99.025 26.0833333330001,-99.025 26.075,-99.033333333 26.075,-99.033333333 26.066666667,-99.0416666669999 26.066666667,-99.0416666669999 26.058333333,-99.05 26.058333333,-99.05 26.0500000000001,-99.058333333 26.0500000000001,-99.058333333 26.058333333,-99.066666667 26.058333333,-99.075 26.058333333,-99.075 26.066666667,-99.083333333 26.066666667,-99.091666667 26.066666667,-99.091666667 26.075,-99.1 26.075,-99.1083333329999 26.075,-99.1083333329999 26.066666667,-99.1083333329999 26.058333333,-99.1083333329999 26.0500000000001,-99.1083333329999 26.0416666670001,-99.1166666669999 26.0416666670001,-99.1166666669999 26.0500000000001,-99.1166666669999 26.058333333,-99.1166666669999 26.066666667,-99.1166666669999 26.075,-99.1166666669999 26.0833333330001,-99.1166666669999 26.0916666670001,-99.1166666669999 26.1,-99.125 26.1,-99.125 26.1083333330001,-99.133333333 26.1083333330001,-99.133333333 26.1166666670001,-99.141666667 26.1166666670001,-99.141666667 26.125,-99.15 26.125,-99.15 26.133333333,-99.15 26.141666667,-99.15 26.15,-99.15 26.1583333330001,-99.158333333 26.1583333330001,-99.158333333 26.1666666670001,-99.15 26.1666666670001,-99.141666667 26.1666666670001,-99.133333333 26.1666666670001,-99.125 26.1666666670001,-99.1166666669999 26.1666666670001,-99.1083333329999 26.1666666670001,-99.1 26.1666666670001,-99.091666667 26.1666666670001,-99.083333333 26.1666666670001,-99.075 26.1666666670001,-99.066666667 26.1666666670001,-99.058333333 26.1666666670001,-99.05 26.1666666670001,-99.0416666669999 26.1666666670001,-99.033333333 26.1666666670001,-99.033333333 26.1583333330001,-99.0416666669999 26.1583333330001)))",A-0022-2M - CAMPO ARCABUZ,115.928032511,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-95.6166666669999 18.4,-95.6166666669999 18.3916666670001,-95.625 18.3916666670001,-95.625 18.4,-95.633333334 18.4,-95.633333334 18.408333333,-95.633333334 18.4166666670001,-95.625 18.4166666670001,-95.625 18.425,-95.6166666669999 18.425,-95.6083333339999 18.425,-95.6083333339999 18.4166666670001,-95.6083333339999 18.408333333,-95.6083333339999 18.4,-95.6166666669999 18.4)))",A-0025-M - CAMPO ARIS,7.28711923172,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-95.891666668 18.4583333330001,-95.891666668 18.45,-95.883333334 18.45,-95.883333334 18.441666667,-95.883333334 18.433333333,-95.883333334 18.425,-95.875000001 18.425,-95.875000001 18.4166666670001,-95.875000001 18.408333333,-95.875000001 18.4,-95.875000001 18.3916666670001,-95.875000001 18.3833333330001,-95.866666668 18.3833333330001,-95.866666668 18.375,-95.858333334 18.375,-95.858333334 18.366666667,-95.866666668 18.366666667,-95.866666668 18.358333333,-95.875000001 18.358333333,-95.883333334 18.358333333,-95.883333334 18.366666667,-95.883333334 18.375,-95.891666668 18.375,-95.891666668 18.3833333330001,-95.891666668 18.3916666670001,-95.891666668 18.4,-95.900000001 18.4,-95.900000001 18.408333333,-95.900000001 18.4166666670001,-95.900000001 18.425,-95.900000001 18.433333333,-95.900000001 18.441666667,-95.9083333339999 18.441666667,-95.9083333339999 18.45,-95.900000001 18.45,-95.900000001 18.4583333330001,-95.891666668 18.4583333330001)))",A-0026-M - CAMPO ARQUIMIA,23.4814467154,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-93.766666667 17.9,-93.775 17.9,-93.775 17.908333333,-93.775 17.9166666670001,-93.766666667 17.9166666670001,-93.766666667 17.925,-93.766666667 17.933333333,-93.758333333 17.933333333,-93.75 17.933333333,-93.7416666669999 17.933333333,-93.7416666669999 17.925,-93.7416666669999 17.9166666670001,-93.7416666669999 17.908333333,-93.75 17.908333333,-93.758333333 17.908333333,-93.758333333 17.9,-93.766666667 17.9)))",A-0027-2M - CAMPO ARROYO PRIETO,9.75831173048,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-93.1583333329999 17.758333333,-93.1583333329999 17.75,-93.15 17.75,-93.141666667 17.75,-93.141666667 17.7416666670001,-93.1333333329999 17.7416666670001,-93.125 17.7416666670001,-93.125 17.7333333330001,-93.116666667 17.7333333330001,-93.116666667 17.725,-93.116666667 17.716666667,-93.116666667 17.708333333,-93.125 17.708333333,-93.125 17.7,-93.1333333329999 17.7,-93.141666667 17.7,-93.15 17.7,-93.1583333329999 17.7,-93.1666666669999 17.7,-93.175 17.7,-93.183333333 17.7,-93.191666667 17.7,-93.191666667 17.708333333,-93.191666667 17.716666667,-93.191666667 17.725,-93.191666667 17.7333333330001,-93.191666667 17.7416666670001,-93.191666667 17.75,-93.191666667 17.758333333,-93.183333333 17.758333333,-93.175 17.758333333,-93.1666666669999 17.758333333,-93.1583333329999 17.758333333)))",A-0029-M - CAMPO ARTESA,43.1724426956,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-97.0166666669999 20.9,-97.0166666669999 20.891666667,-97.0083333329999 20.891666667,-97.0083333329999 20.883333333,-97.0083333329999 20.875,-97 20.875,-97 20.8666666670001,-96.9916666669999 20.8666666670001,-96.9916666669999 20.8583333330001,-96.9916666669999 20.85,-96.9916666669999 20.841666667,-96.983333333 20.841666667,-96.983333333 20.833333333,-96.983333333 20.825,-96.975 20.825,-96.975 20.816666667,-96.975 20.8083333330001,-96.983333333 20.8083333330001,-96.9916666669999 20.8083333330001,-96.9916666669999 20.816666667,-97 20.816666667,-97 20.825,-97.0083333329999 20.825,-97.0083333329999 20.833333333,-97.0166666669999 20.833333333,-97.0166666669999 20.841666667,-97.0166666669999 20.85,-97.025 20.85,-97.025 20.8583333330001,-97.033333333 20.8583333330001,-97.033333333 20.8666666670001,-97.033333333 20.875,-97.041666667 20.875,-97.041666667 20.883333333,-97.041666667 20.891666667,-97.05 20.891666667,-97.05 20.9,-97.041666667 20.9,-97.041666667 20.908333333,-97.033333333 20.908333333,-97.025 20.908333333,-97.0166666669999 20.908333333,-97.0166666669999 20.9)))",A-0031-M - CAMPO ATUN,34.1051255757,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-92.9416666669999 19.166666667,-92.9416666669999 19.158333333,-92.9333333329999 19.158333333,-92.925 19.158333333,-92.916666667 19.158333333,-92.916666667 19.15,-92.916666667 19.141666667,-92.908333333 19.141666667,-92.908333333 19.1333333330001,-92.908333333 19.125,-92.916666667 19.125,-92.916666667 19.1166666670001,-92.916666667 19.1083333330001,-92.908333333 19.1083333330001,-92.908333333 19.1,-92.9 19.1,-92.9 19.091666667,-92.908333333 19.091666667,-92.916666667 19.091666667,-92.925 19.091666667,-92.925 19.1,-92.9333333329999 19.1,-92.9333333329999 19.1083333330001,-92.9333333329999 19.1166666670001,-92.9416666669999 19.1166666670001,-92.9416666669999 19.125,-92.95 19.125,-92.95 19.1333333330001,-92.95 19.141666667,-92.958333333 19.141666667,-92.958333333 19.15,-92.958333333 19.158333333,-92.95 19.158333333,-92.95 19.166666667,-92.9416666669999 19.166666667)))",A-0033-M - CAMPO AYIN,25.7489056265,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-93.683333333 17.9416666670001,-93.683333333 17.933333333,-93.675 17.933333333,-93.675 17.925,-93.675 17.9166666670001,-93.675 17.908333333,-93.683333333 17.908333333,-93.691666667 17.908333333,-93.691666667 17.9,-93.7 17.9,-93.7 17.891666667,-93.708333333 17.891666667,-93.716666667 17.891666667,-93.716666667 17.8833333330001,-93.725 17.8833333330001,-93.7333333329999 17.8833333330001,-93.7333333329999 17.875,-93.7416666669999 17.875,-93.75 17.875,-93.75 17.8666666670001,-93.758333333 17.8666666670001,-93.766666667 17.8666666670001,-93.766666667 17.858333333,-93.775 17.858333333,-93.783333333 17.858333333,-93.791666667 17.858333333,-93.8 17.858333333,-93.8083333329999 17.858333333,-93.8166666669999 17.858333333,-93.8166666669999 17.8666666670001,-93.825 17.8666666670001,-93.825 17.875,-93.825 17.8833333330001,-93.825 17.891666667,-93.8166666669999 17.891666667,-93.8166666669999 17.9,-93.8083333329999 17.9,-93.8 17.9,-93.8 17.908333333,-93.791666667 17.908333333,-93.783333333 17.908333333,-93.775 17.908333333,-93.766666667 17.908333333,-93.766666667 17.9166666670001,-93.758333333 17.9166666670001,-93.75 17.9166666670001,-93.7416666669999 17.9166666670001,-93.7416666669999 17.925,-93.7333333329999 17.925,-93.7333333329999 17.933333333,-93.725 17.933333333,-93.725 17.9416666670001,-93.716666667 17.9416666670001,-93.708333333 17.9416666670001,-93.7 17.9416666670001,-93.691666667 17.9416666670001,-93.683333333 17.9416666670001)))",A-0034-2M - CAMPO AYOCOTE,78.8931731687,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-97.033333333 20.983333333,-97.033333333 20.975,-97.025 20.975,-97.025 20.966666667,-97.025 20.958333333,-97.025 20.95,-97.025 20.9416666670001,-97.025 20.9333333330001,-97.025 20.925,-97.025 20.9166666670001,-97.033333333 20.9166666670001,-97.033333333 20.908333333,-97.041666667 20.908333333,-97.05 20.908333333,-97.058333333 20.908333333,-97.058333333 20.9166666670001,-97.058333333 20.925,-97.058333333 20.9333333330001,-97.058333333 20.9416666670001,-97.0666666669999 20.9416666670001,-97.0666666669999 20.95,-97.0666666669999 20.958333333,-97.0666666669999 20.966666667,-97.0666666669999 20.975,-97.0666666669999 20.983333333,-97.0666666669999 20.9916666670001,-97.0666666669999 21.0,-97.0666666669999 21.0083333330001,-97.0666666669999 21.016666667,-97.0666666669999 21.025,-97.0666666669999 21.033333333,-97.058333333 21.033333333,-97.05 21.033333333,-97.041666667 21.033333333,-97.033333333 21.033333333,-97.033333333 21.025,-97.033333333 21.016666667,-97.033333333 21.0083333330001,-97.033333333 21.0,-97.033333333 20.9916666670001,-97.033333333 20.983333333)))",A-0037-M - CAMPO BAGRE,49.9236647203,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-96.316666666 18.866666667,-96.316666666 18.8583333330001,-96.308333333 18.8583333330001,-96.308333333 18.85,-96.316666666 18.85,-96.316666666 18.841666667,-96.324999999 18.841666667,-96.324999999 18.85,-96.333333333 18.85,-96.333333333 18.8583333330001,-96.333333333 18.866666667,-96.333333333 18.875,-96.324999999 18.875,-96.316666666 18.875,-96.316666666 18.866666667)))",A-0040-M - CAMPO BARAJAS,6.45223076865,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-98.658333333 25.8166666670001,-98.658333333 25.8083333330001,-98.65 25.8083333330001,-98.65 25.8,-98.65 25.7916666670001,-98.658333333 25.7916666670001,-98.6666666669999 25.7916666670001,-98.6666666669999 25.8,-98.675 25.8,-98.675 25.8083333330001,-98.6666666669999 25.8083333330001,-98.6666666669999 25.8166666670001,-98.658333333 25.8166666670001)))",A-0041-M - CAMPO BARUNDA,4.58596370043,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-92.3 19.316666667,-92.3 19.308333333,-92.2916666669999 19.308333333,-92.2916666669999 19.3,-92.2833333329999 19.3,-92.275 19.3,-92.275 19.2916666670001,-92.266666667 19.2916666670001,-92.266666667 19.283333333,-92.266666667 19.275,-92.266666667 19.2666666670001,-92.275 19.2666666670001,-92.2833333329999 19.2666666670001,-92.2916666669999 19.2666666670001,-92.2916666669999 19.2583333330001,-92.3 19.2583333330001,-92.308333333 19.2583333330001,-92.316666667 19.2583333330001,-92.316666667 19.25,-92.325 19.25,-92.333333333 19.25,-92.341666667 19.25,-92.341666667 19.2583333330001,-92.341666667 19.2666666670001,-92.35 19.2666666670001,-92.35 19.275,-92.3583333329999 19.275,-92.3583333329999 19.283333333,-92.3583333329999 19.2916666670001,-92.3583333329999 19.3,-92.3583333329999 19.308333333,-92.3583333329999 19.316666667,-92.35 19.316666667,-92.341666667 19.316666667,-92.333333333 19.316666667,-92.325 19.316666667,-92.316666667 19.316666667,-92.308333333 19.316666667,-92.3 19.316666667)))",A-0042-M - CAMPO BATAB,53.0369829566,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-98.1083333329999 25.558333333,-98.1166666669999 25.558333333,-98.1166666669999 25.566666667,-98.1166666669999 25.575,-98.1166666669999 25.5833333330001,-98.1083333329999 25.5833333330001,-98.1 25.5833333330001,-98.1 25.575,-98.1 25.566666667,-98.1 25.558333333,-98.1083333329999 25.558333333)))",A-0043-M - CAMPO BATO,4.59331333203,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-98.6666666669999 25.725,-98.6666666669999 25.7166666670001,-98.675 25.7166666670001,-98.675 25.708333333,-98.675 25.7,-98.6833333329999 25.7,-98.691666667 25.7,-98.691666667 25.708333333,-98.7 25.708333333,-98.7 25.7166666670001,-98.7 25.725,-98.7 25.7333333330001,-98.691666667 25.7333333330001,-98.691666667 25.725,-98.6833333329999 25.725,-98.6833333329999 25.7333333330001,-98.675 25.7333333330001,-98.6666666669999 25.7333333330001,-98.6666666669999 25.725)))",A-0044-2M - CAMPO BAYO,9.17727981906,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-95.45 17.858333333,-95.45 17.85,-95.441666667 17.85,-95.441666667 17.841666667,-95.433333334 17.841666667,-95.425 17.841666667,-95.4166666669999 17.841666667,-95.4166666669999 17.833333333,-95.4166666669999 17.825,-95.4166666669999 17.8166666670001,-95.425 17.8166666670001,-95.425 17.8083333330001,-95.433333334 17.8083333330001,-95.441666667 17.8083333330001,-95.45 17.8083333330001,-95.45 17.8166666670001,-95.458333334 17.8166666670001,-95.458333334 17.825,-95.466666667 17.825,-95.466666667 17.833333333,-95.475 17.833333333,-95.475 17.841666667,-95.475 17.85,-95.475 17.858333333,-95.466666667 17.858333333,-95.458333334 17.858333333,-95.45 17.858333333)))",A-0045-2M - CAMPO BEDEL,22.786424065,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
